Accomack County, Virginia
Ada County, Idaho
Adams County, Idaho
Adams County, Indiana
Adams County, North Dakota
Adams County, Ohio
Adams County, Pennsylvania
Adams County, Washington
Adams County, Wisconsin
Aitkin County, Minnesota
Alamance County, North Carolina
Alameda County, California
Albany County, New York
Albemarle County, Virginia
Alcona County, Michigan
Aleutians East Borough, Alaska
Aleutians West Census Area, Alaska
Alexander County, North Carolina
Alger County, Michigan
Allegan County, Michigan
Allegany County, New York
Alleghany County, North Carolina
Alleghany County, Virginia
Allegheny County, Pennsylvania
Allen County, Indiana
Allen County, Kansas
Allen County, Ohio
Alpena County, Michigan
Alpine County, California
Amador County, California
Amelia County, Virginia
Amherst County, Virginia
Municipality of Anchorage, Alaska (a consolidated city-borough under Alaska law)
Anderson County, Kansas
Anderson County, Tennessee
Anderson County, Texas
Andrews County, Texas
Androscoggin County, Maine
Angelina County, Texas
Anoka County, Minnesota
Anson County, North Carolina
Antrim County, Michigan
Appling County, Georgia
Appomattox County, Virginia
Aransas County, Texas
Archer County, Texas
Arenac County, Michigan
Arkansas County, Arkansas
Arlington County, Virginia
Armstrong County, Pennsylvania
Armstrong County, Texas
Aroostook County, Maine
Ashe County, North Carolina
Ashland County, Ohio
Ashland County, Wisconsin
Ashley County, Arkansas
Ashtabula County, Ohio
Asotin County, Washington
Atascosa County, Texas
Atchison County, Kansas
Athens County, Ohio
Atkinson County, Georgia
Auglaize County, Ohio
Augusta County, Virginia
Austin County, Texas
Avery County, North Carolina
Bacon County, Georgia
Bailey County, Texas
Baker County, Georgia
Baker County, Oregon
Baldwin County, Georgia
Bandera County, Texas
Banks County, Georgia
Bannock County, Idaho
Baraga County, Michigan
Barber County, Kansas
Barbour County, West Virginia
Barnes County, North Dakota
Barnstable County, Massachusetts
Barron County, Wisconsin
Barrow County, Georgia
Barry County, Michigan
Bartholomew County, Indiana
Barton County, Kansas
Bartow County, Georgia
Bastrop County, Texas
Bath County, Virginia
Baxter County, Arkansas
Bay County, Michigan
Bayfield County, Wisconsin
Baylor County, Texas
Bear Lake County, Idaho
Beaufort County, North Carolina
Beaver County, Pennsylvania
Beaver County, Utah
Becker County, Minnesota
Bedford County, Pennsylvania
Bedford County, Tennessee
Bedford County, Virginia
Bee County, Texas
Belknap County, New Hampshire
Bell County, Texas
Belmont County, Ohio
Beltrami County, Minnesota
Ben Hill County, Georgia
Benewah County, Idaho
Benson County, North Dakota
Benton County, Arkansas
Benton County, Indiana
Benton County, Minnesota
Benton County, Oregon
Benton County, Tennessee
Benton County, Washington
Benzie County, Michigan
Berkeley County, West Virginia
Berks County, Pennsylvania
Berkshire County, Massachusetts
Bernalillo County, New Mexico
Berrien County, Georgia
Berrien County, Michigan
Bertie County, North Carolina
Bethel Census Area, Alaska
Bexar County, Texas
Bibb County, Georgia
Big Stone County, Minnesota
Billings County, North Dakota
Bingham County, Idaho
Blackford County, Indiana
Bladen County, North Carolina
Blaine County, Idaho
Blair County, Pennsylvania
Blanco County, Texas
Bland County, Virginia
Bleckley County, Georgia
Bledsoe County, Tennessee
Blount County, Tennessee
Blue Earth County, Minnesota
Boise County, Idaho
Bonner County, Idaho
Bonneville County, Idaho
Boone County, Arkansas
Boone County, Indiana
Boone County, West Virginia
Borden County, Texas
Bosque County, Texas
Botetourt County, Virginia
Bottineau County, North Dakota
Boundary County, Idaho
Bourbon County, Kansas
Bowie County, Texas
Bowman County, North Dakota
Box Elder County, Utah
Bradford County, Pennsylvania
Bradley County, Arkansas
Bradley County, Tennessee
Branch County, Michigan
Brantley County, Georgia
Braxton County, West Virginia
Brazoria County, Texas
Brazos County, Texas
Brewster County, Texas
Briscoe County, Texas
Bristol Bay Borough, Alaska
Bristol County, Massachusetts
Bristol County, Rhode Island
Bronx County, New York
Brooke County, West Virginia
Brooks County, Georgia
Brooks County, Texas
Broome County, New York
Brown County, Indiana
Brown County, Kansas
Brown County, Minnesota
Brown County, Ohio
Brown County, Texas
Brown County, Wisconsin
Brunswick County, North Carolina
Brunswick County, Virginia
Bryan County, Georgia
Buchanan County, Virginia
Buckingham County, Virginia
Bucks County, Pennsylvania
Buffalo County, Wisconsin
Bulloch County, Georgia
Buncombe County, North Carolina
Burke County, Georgia
Burke County, North Carolina
Burke County, North Dakota
Burleigh County, North Dakota
Burleson County, Texas
Burnet County, Texas
Burnett County, Wisconsin
Butler County, Kansas
Butler County, Ohio
Butler County, Pennsylvania
Butte County, California
Butte County, Idaho
Butts County, Georgia
Cabarrus County, North Carolina
Cabell County, West Virginia
Cache County, Utah
Calaveras County, California
Caldwell County, North Carolina
Caldwell County, Texas
Calhoun County, Arkansas
Calhoun County, Georgia
Calhoun County, Michigan
Calhoun County, Texas
Calhoun County, West Virginia
Callahan County, Texas
Calumet County, Wisconsin
Camas County, Idaho
Cambria County, Pennsylvania
Camden County, Georgia
Camden County, North Carolina
Cameron County, Pennsylvania
Cameron County, Texas
Camp County, Texas
Campbell County, Tennessee
Campbell County, Virginia
Candler County, Georgia
Cannon County, Tennessee
Canyon County, Idaho
Carbon County, Pennsylvania
Carbon County, Utah
Caribou County, Idaho
Carlton County, Minnesota
Caroline County, Virginia
Carroll County, Arkansas
Carroll County, Georgia
Carroll County, Indiana
Carroll County, New Hampshire
Carroll County, Ohio
Carroll County, Tennessee
Carroll County, Virginia
Carson County, Texas
Carter County, Tennessee
Carteret County, North Carolina
Carver County, Minnesota
Cass County, Indiana
Cass County, Michigan
Cass County, Minnesota
Cass County, North Dakota
Cass County, Texas
Cassia County, Idaho
Castro County, Texas
Caswell County, North Carolina
Catawba County, North Carolina
Catoosa County, Georgia
Catron County, New Mexico
Cattaraugus County, New York
Cavalier County, North Dakota
Cayuga County, New York
Centre County, Pennsylvania
Chambers County, Texas
Champaign County, Ohio
Charles City County, Virginia
Charlevoix County, Michigan
Charlotte County, Virginia
Charlton County, Georgia
Chase County, Kansas
Chatham County, Georgia
Chatham County, North Carolina
Chattahoochee County, Georgia
Chattooga County, Georgia
Chautauqua County, Kansas
Chautauqua County, New York
Chaves County, New Mexico
Cheatham County, Tennessee
Cheboygan County, Michigan
Chelan County, Washington
Chemung County, New York
Chenango County, New York
