2025-04-01 23:01:43,725 - INFO - Script started
2025-04-01 23:01:43,727 - INFO - Starting the main function
2025-04-01 23:01:44,362 - INFO - Launching the browser
2025-04-01 23:01:45,317 - INFO - Browser launched and new page created
2025-04-01 23:01:45,321 - INFO - Output directory created at D:\code\cj_carter_all\demographics_data
2025-04-01 23:01:45,321 - INFO - CSV file path set to D:\code\cj_carter_all\demographics_data\data.csv
2025-04-01 23:01:45,333 - INFO - Loaded 1904 counties from file
2025-04-01 23:01:45,334 - INFO - Loaded 118 already processed counties
2025-04-01 23:01:45,334 - INFO - Skipping already processed county: Accomack County, Virginia
2025-04-01 23:01:45,334 - INFO - Skipping already processed county: Ada County, Idaho
2025-04-01 23:01:45,335 - INFO - Skipping already processed county: Adams County, Idaho
2025-04-01 23:01:45,336 - INFO - Skipping already processed county: Adams County, Indiana
2025-04-01 23:01:45,336 - INFO - Skipping already processed county: Adams County, North Dakota
2025-04-01 23:01:45,337 - INFO - Skipping already processed county: Adams County, Ohio
2025-04-01 23:01:45,337 - INFO - Skipping already processed county: Adams County, Pennsylvania
2025-04-01 23:01:45,338 - INFO - Skipping already processed county: Adams County, Washington
2025-04-01 23:01:45,338 - INFO - Skipping already processed county: Adams County, Wisconsin
2025-04-01 23:01:45,338 - INFO - Skipping already processed county: Aitkin County, Minnesota
2025-04-01 23:01:45,339 - INFO - Skipping already processed county: Alamance County, North Carolina
2025-04-01 23:01:45,339 - INFO - Skipping already processed county: Alameda County, California
2025-04-01 23:01:45,340 - INFO - Skipping already processed county: Albany County, New York
2025-04-01 23:01:45,340 - INFO - Skipping already processed county: Albemarle County, Virginia
2025-04-01 23:01:45,341 - INFO - Skipping already processed county: Alcona County, Michigan
2025-04-01 23:01:45,343 - INFO - Skipping already processed county: Aleutians East Borough, Alaska
2025-04-01 23:01:45,344 - INFO - Skipping already processed county: Aleutians West Census Area, Alaska
2025-04-01 23:01:45,345 - INFO - Skipping already processed county: Alexander County, North Carolina
2025-04-01 23:01:45,345 - INFO - Skipping already processed county: Alger County, Michigan
2025-04-01 23:01:45,346 - INFO - Skipping already processed county: Allegan County, Michigan
2025-04-01 23:01:45,350 - INFO - Skipping already processed county: Allegany County, New York
2025-04-01 23:01:45,352 - INFO - Skipping already processed county: Alleghany County, North Carolina
2025-04-01 23:01:45,352 - INFO - Skipping already processed county: Alleghany County, Virginia
2025-04-01 23:01:45,353 - INFO - Skipping already processed county: Allegheny County, Pennsylvania
2025-04-01 23:01:45,353 - INFO - Skipping already processed county: Allen County, Indiana
2025-04-01 23:01:45,354 - INFO - Skipping already processed county: Allen County, Kansas
2025-04-01 23:01:45,354 - INFO - Skipping already processed county: Allen County, Ohio
2025-04-01 23:01:45,355 - INFO - Skipping already processed county: Alpena County, Michigan
2025-04-01 23:01:45,355 - INFO - Skipping already processed county: Alpine County, California
2025-04-01 23:01:45,356 - INFO - Skipping already processed county: Amador County, California
2025-04-01 23:01:45,356 - INFO - Skipping already processed county: Amelia County, Virginia
2025-04-01 23:01:45,357 - INFO - Skipping already processed county: Amherst County, Virginia
2025-04-01 23:01:45,358 - INFO - Skipping already processed county: Municipality of Anchorage, Alaska (a consolidated city-borough under Alaska law)
2025-04-01 23:01:45,359 - INFO - Skipping already processed county: Anderson County, Kansas
2025-04-01 23:01:45,360 - INFO - Skipping already processed county: Anderson County, Tennessee
2025-04-01 23:01:45,360 - INFO - Skipping already processed county: Anderson County, Texas
2025-04-01 23:01:45,361 - INFO - Skipping already processed county: Andrews County, Texas
2025-04-01 23:01:45,364 - INFO - Skipping already processed county: Androscoggin County, Maine
2025-04-01 23:01:45,366 - INFO - Skipping already processed county: Angelina County, Texas
2025-04-01 23:01:45,367 - INFO - Skipping already processed county: Anoka County, Minnesota
2025-04-01 23:01:45,367 - INFO - Skipping already processed county: Anson County, North Carolina
2025-04-01 23:01:45,368 - INFO - Skipping already processed county: Antrim County, Michigan
2025-04-01 23:01:45,368 - INFO - Skipping already processed county: Appling County, Georgia
2025-04-01 23:01:45,369 - INFO - Skipping already processed county: Appomattox County, Virginia
2025-04-01 23:01:45,369 - INFO - Skipping already processed county: Aransas County, Texas
2025-04-01 23:01:45,370 - INFO - Skipping already processed county: Archer County, Texas
2025-04-01 23:01:45,370 - INFO - Skipping already processed county: Arenac County, Michigan
2025-04-01 23:01:45,370 - INFO - Skipping already processed county: Arkansas County, Arkansas
2025-04-01 23:01:45,371 - INFO - Skipping already processed county: Arlington County, Virginia
2025-04-01 23:01:45,371 - INFO - Skipping already processed county: Armstrong County, Pennsylvania
2025-04-01 23:01:45,372 - INFO - Skipping already processed county: Armstrong County, Texas
2025-04-01 23:01:45,372 - INFO - Skipping already processed county: Aroostook County, Maine
2025-04-01 23:01:45,372 - INFO - Skipping already processed county: Ashe County, North Carolina
2025-04-01 23:01:45,373 - INFO - Skipping already processed county: Ashland County, Ohio
2025-04-01 23:01:45,373 - INFO - Skipping already processed county: Ashland County, Wisconsin
2025-04-01 23:01:45,374 - INFO - Skipping already processed county: Ashley County, Arkansas
2025-04-01 23:01:45,375 - INFO - Skipping already processed county: Ashtabula County, Ohio
2025-04-01 23:01:45,377 - INFO - Skipping already processed county: Asotin County, Washington
2025-04-01 23:01:45,378 - INFO - Skipping already processed county: Atascosa County, Texas
2025-04-01 23:01:45,385 - INFO - Skipping already processed county: Atchison County, Kansas
2025-04-01 23:01:45,386 - INFO - Skipping already processed county: Athens County, Ohio
2025-04-01 23:01:45,387 - INFO - Skipping already processed county: Atkinson County, Georgia
2025-04-01 23:01:45,388 - INFO - Skipping already processed county: Auglaize County, Ohio
2025-04-01 23:01:45,395 - INFO - Skipping already processed county: Augusta County, Virginia
2025-04-01 23:01:45,402 - INFO - Skipping already processed county: Austin County, Texas
2025-04-01 23:01:45,404 - INFO - Skipping already processed county: Avery County, North Carolina
2025-04-01 23:01:45,405 - INFO - Skipping already processed county: Bacon County, Georgia
2025-04-01 23:01:45,407 - INFO - Skipping already processed county: Bailey County, Texas
2025-04-01 23:01:45,421 - INFO - Skipping already processed county: Baker County, Georgia
2025-04-01 23:01:45,422 - INFO - Skipping already processed county: Baker County, Oregon
2025-04-01 23:01:45,423 - INFO - Skipping already processed county: Baldwin County, Georgia
2025-04-01 23:01:45,426 - INFO - Skipping already processed county: Bandera County, Texas
2025-04-01 23:01:45,430 - INFO - Skipping already processed county: Banks County, Georgia
2025-04-01 23:01:45,433 - INFO - Skipping already processed county: Bannock County, Idaho
2025-04-01 23:01:45,437 - INFO - Skipping already processed county: Baraga County, Michigan
2025-04-01 23:01:45,438 - INFO - Skipping already processed county: Barber County, Kansas
2025-04-01 23:01:45,439 - INFO - Skipping already processed county: Barbour County, West Virginia
2025-04-01 23:01:45,439 - INFO - Skipping already processed county: Barnes County, North Dakota
2025-04-01 23:01:45,440 - INFO - Skipping already processed county: Barnstable County, Massachusetts
2025-04-01 23:01:45,445 - INFO - Skipping already processed county: Barron County, Wisconsin
2025-04-01 23:01:45,451 - INFO - Skipping already processed county: Barrow County, Georgia
2025-04-01 23:01:45,453 - INFO - Skipping already processed county: Barry County, Michigan
2025-04-01 23:01:45,453 - INFO - Skipping already processed county: Bartholomew County, Indiana
2025-04-01 23:01:45,454 - INFO - Skipping already processed county: Barton County, Kansas
2025-04-01 23:01:45,455 - INFO - Skipping already processed county: Bartow County, Georgia
2025-04-01 23:01:45,456 - INFO - Skipping already processed county: Bastrop County, Texas
2025-04-01 23:01:45,456 - INFO - Skipping already processed county: Bath County, Virginia
2025-04-01 23:01:45,457 - INFO - Skipping already processed county: Baxter County, Arkansas
2025-04-01 23:01:45,459 - INFO - Skipping already processed county: Bay County, Michigan
2025-04-01 23:01:45,460 - INFO - Skipping already processed county: Bayfield County, Wisconsin
2025-04-01 23:01:45,461 - INFO - Skipping already processed county: Baylor County, Texas
2025-04-01 23:01:45,467 - INFO - Skipping already processed county: Bear Lake County, Idaho
2025-04-01 23:01:45,468 - INFO - Skipping already processed county: Beaufort County, North Carolina
2025-04-01 23:01:45,469 - INFO - Skipping already processed county: Beaver County, Pennsylvania
2025-04-01 23:01:45,469 - INFO - Skipping already processed county: Beaver County, Utah
2025-04-01 23:01:45,470 - INFO - Skipping already processed county: Becker County, Minnesota
2025-04-01 23:01:45,471 - INFO - Skipping already processed county: Bedford County, Pennsylvania
2025-04-01 23:01:45,472 - INFO - Skipping already processed county: Bedford County, Tennessee
2025-04-01 23:01:45,472 - INFO - Skipping already processed county: Bedford County, Virginia
2025-04-01 23:01:45,473 - INFO - Skipping already processed county: Bee County, Texas
2025-04-01 23:01:45,475 - INFO - Skipping already processed county: Belknap County, New Hampshire
2025-04-01 23:01:45,476 - INFO - Skipping already processed county: Bell County, Texas
2025-04-01 23:01:45,477 - INFO - Skipping already processed county: Belmont County, Ohio
2025-04-01 23:01:45,477 - INFO - Skipping already processed county: Beltrami County, Minnesota
2025-04-01 23:01:45,478 - INFO - Skipping already processed county: Ben Hill County, Georgia
2025-04-01 23:01:45,479 - INFO - Skipping already processed county: Benewah County, Idaho
2025-04-01 23:01:45,483 - INFO - Skipping already processed county: Benson County, North Dakota
2025-04-01 23:01:45,487 - INFO - Skipping already processed county: Benton County, Arkansas
2025-04-01 23:01:45,487 - INFO - Skipping already processed county: Benton County, Indiana
2025-04-01 23:01:45,488 - INFO - Skipping already processed county: Benton County, Minnesota
2025-04-01 23:01:45,489 - INFO - Skipping already processed county: Benton County, Oregon
2025-04-01 23:01:45,490 - INFO - Skipping already processed county: Benton County, Tennessee
2025-04-01 23:01:45,492 - INFO - Skipping already processed county: Benton County, Washington
2025-04-01 23:01:45,496 - INFO - Skipping already processed county: Benzie County, Michigan
2025-04-01 23:01:45,497 - INFO - Skipping already processed county: Berkeley County, West Virginia
2025-04-01 23:01:45,498 - INFO - Skipping already processed county: Berks County, Pennsylvania
2025-04-01 23:01:45,499 - INFO - Skipping already processed county: Berkshire County, Massachusetts
2025-04-01 23:01:45,500 - INFO - Processing county: Bernalillo County, state: New Mexico
2025-04-01 23:01:50,640 - INFO - Navigating to: https://data.census.gov/all?q=Bernalillo+County%2C+New+Mexico (Attempt 1/3)
2025-04-01 23:01:59,000 - INFO - Scraping demographics for Bernalillo County, New Mexico...
2025-04-01 23:01:59,223 - INFO - Population: Total Population:676,444
2025-04-01 23:01:59,265 - INFO - Income: Median Household Income:$68,372
2025-04-01 23:01:59,296 - INFO - Employment Rate: Employment Rate:59.9%
2025-04-01 23:02:05,236 - INFO - Navigating to: https://www.bing.com/search?q=Bernalillo+County%2C+New+Mexico+population+growth+rate (Attempt 1/3)
2025-04-01 23:02:06,783 - INFO - Searching Bing for population growth rate: Bernalillo County, New Mexico population growth rate
2025-04-01 23:02:06,849 - INFO - Population growth rate result: N/A
2025-04-01 23:02:06,884 - INFO - --------------------------------------------------------------------------------
2025-04-01 23:02:06,887 - INFO - Processing county: Berrien County, state: Georgia
2025-04-01 23:02:12,852 - INFO - Navigating to: https://data.census.gov/all?q=Berrien+County%2C+Georgia (Attempt 1/3)
2025-04-01 23:02:15,131 - INFO - Scraping demographics for Berrien County, Georgia...
2025-04-01 23:02:15,543 - INFO - Population: Total Population:18,160
2025-04-01 23:02:15,771 - INFO - Income: Median Household Income:$50,414
2025-04-01 23:02:15,790 - INFO - Employment Rate: Employment Rate:52.9%
2025-04-01 23:02:19,583 - INFO - Navigating to: https://www.bing.com/search?q=Berrien+County%2C+Georgia+population+growth+rate (Attempt 1/3)
2025-04-01 23:02:20,804 - INFO - Searching Bing for population growth rate: Berrien County, Georgia population growth rate
2025-04-01 23:02:21,061 - INFO - Population growth rate result: N/A
2025-04-01 23:02:21,071 - INFO - --------------------------------------------------------------------------------
2025-04-01 23:02:21,071 - INFO - Processing county: Berrien County, state: Michigan
2025-04-01 23:02:26,197 - INFO - Navigating to: https://data.census.gov/all?q=Berrien+County%2C+Michigan (Attempt 1/3)
2025-04-01 23:02:28,898 - INFO - Scraping demographics for Berrien County, Michigan...
2025-04-01 23:02:29,472 - INFO - Population: Total Population:154,316
2025-04-01 23:02:29,648 - INFO - Income: Median Household Income:$62,460
2025-04-01 23:02:29,674 - INFO - Employment Rate: Employment Rate:56.5%
2025-04-01 23:02:33,358 - INFO - Navigating to: https://www.bing.com/search?q=Berrien+County%2C+Michigan+population+growth+rate (Attempt 1/3)
2025-04-01 23:02:34,438 - INFO - Searching Bing for population growth rate: Berrien County, Michigan population growth rate
