2025-04-06 10:00:50,776 - INFO - Script started
2025-04-06 10:00:50,778 - INFO - Starting the main function
2025-04-06 10:00:58,708 - INFO - Launching the browser
2025-04-06 10:01:00,052 - INFO - Browser launched and new page created
2025-04-06 10:01:00,104 - INFO - Output directory created at d:\code\cj_carter_all\demographics_data
2025-04-06 10:01:00,112 - INFO - CSV file path set to d:\code\cj_carter_all\demographics_data\data.csv
2025-04-06 10:01:00,215 - INFO - Loaded 1904 counties from file
2025-04-06 10:01:00,254 - INFO - Loaded 783 already processed counties
2025-04-06 10:01:00,260 - INFO - Skipping already processed county: Accomack County, Virginia
2025-04-06 10:01:00,261 - INFO - Skipping already processed county: Ada County, Idaho
2025-04-06 10:01:00,264 - INFO - Skipping already processed county: Adams County, Idaho
2025-04-06 10:01:00,264 - INFO - Skipping already processed county: Adams County, Indiana
2025-04-06 10:01:00,265 - INFO - Skipping already processed county: Adams County, North Dakota
2025-04-06 10:01:00,266 - INFO - Skipping already processed county: Adams County, Ohio
2025-04-06 10:01:00,267 - INFO - Skipping already processed county: Adams County, Pennsylvania
2025-04-06 10:01:00,269 - INFO - Skipping already processed county: Adams County, Washington
2025-04-06 10:01:00,273 - INFO - Skipping already processed county: Adams County, Wisconsin
2025-04-06 10:01:00,275 - INFO - Skipping already processed county: Aitkin County, Minnesota
2025-04-06 10:01:00,278 - INFO - Skipping already processed county: Alamance County, North Carolina
2025-04-06 10:01:00,280 - INFO - Skipping already processed county: Alameda County, California
2025-04-06 10:01:00,282 - INFO - Skipping already processed county: Albany County, New York
2025-04-06 10:01:00,285 - INFO - Skipping already processed county: Albemarle County, Virginia
2025-04-06 10:01:00,286 - INFO - Skipping already processed county: Alcona County, Michigan
2025-04-06 10:01:00,289 - INFO - Skipping already processed county: Aleutians East Borough, Alaska
2025-04-06 10:01:00,292 - INFO - Skipping already processed county: Aleutians West Census Area, Alaska
2025-04-06 10:01:00,294 - INFO - Skipping already processed county: Alexander County, North Carolina
2025-04-06 10:01:00,295 - INFO - Skipping already processed county: Alger County, Michigan
2025-04-06 10:01:00,297 - INFO - Skipping already processed county: Allegan County, Michigan
2025-04-06 10:01:00,298 - INFO - Skipping already processed county: Allegany County, New York
2025-04-06 10:01:00,300 - INFO - Skipping already processed county: Alleghany County, North Carolina
2025-04-06 10:01:00,301 - INFO - Skipping already processed county: Alleghany County, Virginia
2025-04-06 10:01:00,303 - INFO - Skipping already processed county: Allegheny County, Pennsylvania
2025-04-06 10:01:00,304 - INFO - Skipping already processed county: Allen County, Indiana
2025-04-06 10:01:00,306 - INFO - Skipping already processed county: Allen County, Kansas
2025-04-06 10:01:00,309 - INFO - Skipping already processed county: Allen County, Ohio
2025-04-06 10:01:00,312 - INFO - Skipping already processed county: Alpena County, Michigan
2025-04-06 10:01:00,313 - INFO - Skipping already processed county: Alpine County, California
2025-04-06 10:01:00,317 - INFO - Skipping already processed county: Amador County, California
2025-04-06 10:01:00,318 - INFO - Skipping already processed county: Amelia County, Virginia
2025-04-06 10:01:00,319 - INFO - Skipping already processed county: Amherst County, Virginia
2025-04-06 10:01:00,320 - INFO - Skipping already processed county: Municipality of Anchorage, Alaska (a consolidated city-borough under Alaska law)
2025-04-06 10:01:00,326 - INFO - Skipping already processed county: Anderson County, Kansas
2025-04-06 10:01:00,328 - INFO - Skipping already processed county: Anderson County, Tennessee
2025-04-06 10:01:00,337 - INFO - Skipping already processed county: Anderson County, Texas
2025-04-06 10:01:00,340 - INFO - Skipping already processed county: Andrews County, Texas
2025-04-06 10:01:00,343 - INFO - Skipping already processed county: Androscoggin County, Maine
2025-04-06 10:01:00,343 - INFO - Skipping already processed county: Angelina County, Texas
2025-04-06 10:01:00,345 - INFO - Skipping already processed county: Anoka County, Minnesota
2025-04-06 10:01:00,345 - INFO - Skipping already processed county: Anson County, North Carolina
2025-04-06 10:01:00,349 - INFO - Skipping already processed county: Antrim County, Michigan
2025-04-06 10:01:00,353 - INFO - Skipping already processed county: Appling County, Georgia
2025-04-06 10:01:00,357 - INFO - Skipping already processed county: Appomattox County, Virginia
2025-04-06 10:01:00,376 - INFO - Skipping already processed county: Aransas County, Texas
2025-04-06 10:01:00,378 - INFO - Skipping already processed county: Archer County, Texas
2025-04-06 10:01:00,381 - INFO - Skipping already processed county: Arenac County, Michigan
2025-04-06 10:01:00,385 - INFO - Skipping already processed county: Arkansas County, Arkansas
2025-04-06 10:01:00,387 - INFO - Skipping already processed county: Arlington County, Virginia
2025-04-06 10:01:00,391 - INFO - Skipping already processed county: Armstrong County, Pennsylvania
2025-04-06 10:01:00,394 - INFO - Skipping already processed county: Armstrong County, Texas
2025-04-06 10:01:00,396 - INFO - Skipping already processed county: Aroostook County, Maine
2025-04-06 10:01:00,398 - INFO - Skipping already processed county: Ashe County, North Carolina
2025-04-06 10:01:00,419 - INFO - Skipping already processed county: Ashland County, Ohio
2025-04-06 10:01:00,435 - INFO - Skipping already processed county: Ashland County, Wisconsin
2025-04-06 10:01:00,450 - INFO - Skipping already processed county: Ashley County, Arkansas
2025-04-06 10:01:00,451 - INFO - Skipping already processed county: Ashtabula County, Ohio
2025-04-06 10:01:00,453 - INFO - Skipping already processed county: Asotin County, Washington
2025-04-06 10:01:00,454 - INFO - Skipping already processed county: Atascosa County, Texas
2025-04-06 10:01:00,461 - INFO - Skipping already processed county: Atchison County, Kansas
2025-04-06 10:01:00,462 - INFO - Skipping already processed county: Athens County, Ohio
2025-04-06 10:01:00,464 - INFO - Skipping already processed county: Atkinson County, Georgia
2025-04-06 10:01:00,471 - INFO - Skipping already processed county: Auglaize County, Ohio
2025-04-06 10:01:00,476 - INFO - Skipping already processed county: Augusta County, Virginia
2025-04-06 10:01:00,478 - INFO - Skipping already processed county: Austin County, Texas
2025-04-06 10:01:00,480 - INFO - Skipping already processed county: Avery County, North Carolina
2025-04-06 10:01:00,483 - INFO - Skipping already processed county: Bacon County, Georgia
2025-04-06 10:01:00,485 - INFO - Skipping already processed county: Bailey County, Texas
2025-04-06 10:01:00,503 - INFO - Skipping already processed county: Baker County, Georgia
2025-04-06 10:01:00,507 - INFO - Skipping already processed county: Baker County, Oregon
2025-04-06 10:01:00,511 - INFO - Skipping already processed county: Baldwin County, Georgia
2025-04-06 10:01:00,512 - INFO - Skipping already processed county: Bandera County, Texas
2025-04-06 10:01:00,512 - INFO - Skipping already processed county: Banks County, Georgia
2025-04-06 10:01:00,513 - INFO - Skipping already processed county: Bannock County, Idaho
